codigo;componente_curricular;ch
TEC_ACC_0001;Atividades Acadêmico-Científico-Culturais;40.0
TEC_ACC_0002;Atividades Acadêmico-Científico-Culturais;60.0
TEC_ACC_0003;Atividades Acadêmico-Científico-Culturais;80.0
TEC_ACC_0004;Atividades Acadêmico-Científico-Culturais;100.0
TEC_ACC_0005;Atividades Acadêmico-Científico-Culturais;120.0
TEC_ACC_0006;Atividades Acadêmico-Científico-Culturais;140.0
TEC_ACC_0007;Atividades Acadêmico-Científico-Culturais;160.0
TEC_ACC_0008;Atividades Acadêmico-Científico-Culturais;180.0
TEC_ACC_0009;Atividades Acadêmico-Científico-Culturais;200.0
TEC_DSI_0001;Programação e Design para Web 1;80.0
TEC_DSI_0002;Arquitetura de Computadores;80.0
TEC_DSI_0003;Fundamentos de Sistemas de Informação;40.0
TEC_DSI_0004;Programação Estruturada;80.0
TEC_DSI_0005;Ambiente de Edição Web;80.0
TEC_DSI_0006;Modelo Relacional e Projeto Lógico de Banco de Dados;80.0
TEC_DSI_0007;Fundamentos de Engenharia de Software;80.0
TEC_DSI_0008;Modelo e Programação Oreintados a Objetos;80.0
TEC_DSI_0009;Fundamentos de Redes e Sistemas Distribuiídos;80.0
TEC_DSI_0010;Sistemas Operacionais e Serviços de Virtualização;80.0
TEC_DSI_0011;Desenvolvimento Frontend;80.0
TEC_DSI_0012;Interface Humano-Máquina e UI Design;40.0
TEC_DSI_0013;Técnicas de Análise e Projeto de Sistemas;80.0
TEC_DSI_0014;Fundamentos de Estruturas de Dados;60.0
TEC_DSI_0015;Métodos Ágeis;40.0
TEC_DSI_0016;Desenvolvimento Backend;80.0
TEC_DSI_0017;Arquitetura de Software;60.0
TEC_DSI_0018;Gestão de Processos de Negócios (BPM);60.0
TEC_DSI_0019;Padrões de Projetos;60.0
TEC_DSI_0020;Testes de Softwares;60.0
TEC_DSI_0021;Qualidade de Software;40.0
TEC_DSI_0022;Projeto de Sistemas;80.0
TEC_DSI_0023;Abordagem Devops e Entregas Contínuas;80.0
TEC_DSI_0024;Gestão e Governança de TI;80.0
TEC_DSI_0025;Estatística e Probabilidade;80.0
TEC_DSI_0026;Métodos Quantitativos Aplicados à TIC;80.0
TEC_DSI_0027;Organização de Computadores;80.0
TEC_DSI_0028;Fundamentos de Algoritmos de Computação;80.0
TEC_DSI_0029;Matemática Básica;80.0
TEC_DSI_0030;Introdução à Análise de Sistemas;80.0
TEC_DSI_0031;Interface Humano-Máquina;40.0
TEC_DSI_0032;Técnicas e Paradigmas Humanos;80.0
TEC_DSI_0033;Engenharia de Requisitos;80.0
TEC_DSI_0034;Fundamentos de Programação;80.0
TEC_DSI_0035;Construção de Aplicações Web;80.0
TEC_DSI_0036;Algoritmos e Linguagens de Programação 2;60.0
TEC_DSI_0037;Cálculo;80.0
TEC_DSI_0038;Programação Orientada à Objetos Básica;80.0
TEC_DSI_0039;Projeto de Banco de Dados;80.0
TEC_DSI_0040;Desenvolvimento de Tecnologias Web;80.0
TEC_DSI_0041;Álgebra;80.0
TEC_DSI_0042;Programação Orientada à Objetos Avançada;80.0
TEC_DSI_0043;Tópicos em Análise e Desenvolvimento;80.0
TEC_DSI_0044;Utilização de Banco de Dados e SQL;80.0
TEC_DSI_0045;Modelagem de Sistemas;80.0
TEC_DSI_0046;Tópicos Avançados;80.0
TEC_DSI_0047;Programação de Scripts de Banco de Dados e SQL;80.0
TEC_DSI_0048;Programação e Estruturas de Dados em C;120.0
TEC_DSI_0049;Organização de Computadores 1;120.0
TEC_DSI_0050;Laboratório de Fundamentos em TIC;80.0
TEC_DSI_0051;Programação Orientada à Objeto e Algoritmos em C++;120.0
TEC_DSI_0052;Organização de Computadores 2;120.0
TEC_DSI_0053;Banco de Dados 1;60.0
TEC_DSI_0054;Inglês Técnico;80.0
TEC_DSI_0055;Programação em Java;120.0
TEC_DSI_0056;Rede de Computadores 1;100.0
TEC_DSI_0057;Sistemas Operacionais 1;100.0
TEC_DSI_0058;Banco de Dados 2;80.0
TEC_DSI_0059;Princípios de Comunicações de Dados;100.0
TEC_DSI_0060;Rede de Computadores 2;80.0
TEC_DSI_0061;Tecnologias de Comunicação de Dados;80.0
TEC_DSI_0062;Introdução à Computação Gráfica;100.0
TEC_DSI_0063;Sistemas Operacionais 2;80.0
TEC_DSI_0064;Comércio Eletrônico;40.0
TEC_DSI_0065;Segurança e Auditoria de Sistemas;80.0
TEC_DSI_0066;Sistemas Multimídia e Hipermídia;40.0
TEC_DSI_0067;Psicologia Aplicada à Informática;40.0
TEC_DSI_0068;Planejamento Estratégico Aplicado à TIC;40.0
TEC_DSI_0069;Sistemas de Apoio à Decisão;60.0
TEC_DSI_0070;Algoritmos e Linguagem de Programação 1;120.0
TEC_DSI_0071;Introdução à Lógica;60.0
TEC_DSI_0072;Organização de Computadores;60.0
TEC_DSI_0073;Engenharia de Software e da Usabilidade;80.0
TEC_DSI_0074;Programação e Design para Web 2;80.0
TEC_DSI_0075;Mídias e Marketing Digital;60.0
TEC_DSI_0076;Gestão de Projeto de Banco de Dados;60.0
TEC_DSI_0077;Análise e Projeto de Sistemas;120.0
TEC_DSI_0078;Programação Cliente/Servidor;80.0
TEC_DSI_0079;Gestão de Sistemas Digitais na Web;80.0
TEC_DSI_0080;Segurança em Sistemas Computacionais;80.0
TEC_DSI_0081;Programação para Dispositivos Móveis;120.0
TEC_DSI_0083;Logística e Comércio Eletrônico;60.0
TEC_DSI_0084;Governança em TI;60.0
TEC_DSI_0085;Qualidade e Testes de Software;80.0
TEC_DSI_0089;Álgebra Linear;80.0
TEC_DSI_0090;Modelagem Matemática e Computacional;80.0
TEC_DSI_0091;Programação I;80.0
TEC_DSI_0092;Introdução à IA;40.0
TEC_DSI_0093;Pesquisa e Inovação;40.0
TEC_DSI_0094;Estrutura de Dados e Algoritmos;80.0
TEC_DSI_0095;Programação II;80.0
TEC_DSI_0096;Computação em Nuvem;40.0
TEC_DSI_0097;Projeto e Análise de Algorítmos;40.0
TEC_DSI_0098;Segurança em IA;40.0
TEC_DSI_0099;Aprendizado de Máquina I;80.0
TEC_DSI_0100;Internet das Coisas;40.0
TEC_DSI_0101;Computação de Alto Desempenho;40.0
TEC_DSI_0102;Desenvolvimento de APIS’s para IA;40.0
TEC_DSI_0103;Redes Neurais Generativas e Deep Learning;80.0
TEC_DSI_0104;Aprendizado de Máquina II;80.0
TEC_DSI_0105;Cibersegurança;40.0
TEC_DSI_0106;Tópicos Avançados em IA;80.0
TEC_DSI_0107;Técnicas de Big Data;40.0
TEC_DSI_0108;Processamento de Linguagem Natural;80.0
TEC_DSI_0109;Ciência de Dados;80.0
TEC_DSI_0110;Programação em Ambiente Visual;80.0
TEC_DSI_0111;Programação e Design para web 3;80.0
TEC_ELE_0001;Disciplina Eletiva 1;60.0
TEC_ELE_0002;Disciplina Eletiva 2;60.0
TEC_ELE_0003;Disciplina Eletiva 3;60.0
TEC_ELE_0004;Disciplina Eletiva 4;60.0
TEC_ELE_0005;Disciplina Eletiva 5;60.0
TEC_EST_0001;Estágio Supervisionado;100.0
TEC_EST_0002;Estágio Supervisionado;120.0
TEC_EST_0003;Estágio Supervisionado;140.0
TEC_EST_0004;Estágio Supervisionado;160.0
TEC_EST_0005;Estágio Supervisionado;180.0
TEC_EST_0006;Estágio Supervisionado;200.0
TEC_EST_0007;Estágio Supervisionado;240.0
TEC_EST_0008;Estágio Supervisionado;300.0
TEC_EST_0009;Estágio Supervisionado;360.0
TEC_EXT_0001;Projeto de Extensão 1;60.0
TEC_EXT_0002;Projeto de Extensão 2;60.0
TEC_EXT_0003;Projeto de Extensão 3;60.0
TEC_EXT_0004;Projeto de Extensão 4;60.0
TEC_EXT_0005;Projeto de Extensão 5;60.0
TEC_EXT_0006;Atividade Extensionista;40.0
TEC_EXT_0007;Atividade Extensionista;60.0
TEC_EXT_0008;Atividade Extensionista;80.0
TEC_EXT_0009;Atividade Extensionista;120.0
TEC_EXT_0010;Atividade Extensionista;160.0
TEC_EXT_0011;Atividade Extensionista;240.0
TEC_GER_0001;Gestão de Marketing;60.0
TEC_GER_0002;Planejamento e Gestão Estratégica;60.0
TEC_GER_0003;Sistemas de Informações Gerenciais;60.0
TEC_GER_0004;Gestão da Produção e Qualidade;60.0
TEC_GER_0005;Pesquisa de Marketing;60.0
TEC_GER_0006;Gestão Financeira e Tributária;60.0
TEC_GER_0007;Orçamento Empresarial e Análise de Investimentos;60.0
TEC_GER_0008;Gestão de Vendas e Negociações;60.0
TEC_GER_0009;Gestão de Custos e Formação de Preços;60.0
TEC_GER_0010;Comportamento Organizacional;60.0
TEC_GER_0011;Gestão de Serviços;60.0
TEC_GER_0012;Legislação Tributária;60.0
TEC_GER_0013;Ética e Cidadania Aplicadas às Organizações;60.0
TEC_GER_0014;Sustentabilidade Empresarial;60.0
TEC_GER_0015;Empreendedorismo Individual, Social e Empresarial;60.0
TEC_GER_0016;Direito Trabalhista e Previdenciário;60.0
TEC_GER_0017;Gestão da Diversidade nas Organizações;60.0
TEC_GER_0018;Pedagogia Empresarial 1;60.0
TEC_GER_0019;Saúde, Segurança e Qualidade de Vida no Trabalho;60.0
TEC_GER_0020;Gestão de Cargos e Salários;60.0
TEC_GER_0021;Gestão Estratégica de Pessoas;60.0
TEC_GER_0022;Cálculos Trabalhistas;60.0
TEC_GER_0023;Recrutamento e Seleção 1;60.0
TEC_GER_0024;Pedagogia Empresarial 2;60.0
TEC_GER_0025;Avaliação de Desempenho e Gestão de Carreira;60.0
TEC_GER_0026;Gestão de Benefícios;60.0
TEC_GER_0027;Sistemas de Informações em RH;60.0
TEC_GER_0028;Recrutamento e Seleção 2;60.0
TEC_GER_0029;Comportamento, Clima e Cultura Organizacional;60.0
TEC_GER_0030;Negociação e Comportamento Humano;60.0
TEC_GER_0031;Avaliação e Gestão de Custos e Investimentos em RH;60.0
TEC_GER_0032;Desenvolvimento, Análise e Mapeamento de Processos;60.0
TEC_GER_0033;Fundamentos da Logística Empresarial;60.0
TEC_GER_0034;Fundamentos do Marketing;60.0
TEC_GER_0035;Tecnologias Aplicadas ao Gerenciamento de Processos;60.0
TEC_GER_0036;Fundamentos da Gestão da Produção;60.0
TEC_GER_0037;Fundamentos da Gestão Financeira;60.0
TEC_GER_0038;Utilização da IA nos Processos Gerenciais;60.0
TEC_GER_0039;Análise de Problemas e Tomada de Decisões;60.0
TEC_GER_0040;Fundamentos da Gestão da Qualidade;60.0
TEC_GER_0041;Tópicos Avançados em Processos Gerenciais;60.0
TEC_GER_0042;Sistemas de Informações Empresariais;60.0
TEC_GER_0043;Análise de Desempenho Empresarial;60.0
TEC_GER_0044;Liderança de Equipes;60.0
TEC_GER_0045;Legislação Aplicada ao uso de Tecnologias;60.0
TEC_GER_0046;Desenvolvimento de Bens e Serviços;60.0
TEC_GER_0047;Gestão de Preços;60.0
TEC_GER_0048;Princípios da Comunicação Mercadológica;60.0
TEC_GER_0049;Tecnologias Aplicadas ao Marketing;60.0
TEC_GER_0050;Análise Ambiental Aplicada às Organizações Empresariais;60.0
TEC_GER_0051;Gestão da Distribuição de Bens e Serviços;60.0
TEC_GER_0052;Gestão de Serviços e Marketing de Relacionamento;60.0
TEC_GER_0053;Gestão de Marcas;60.0
TEC_GER_0054;Utilização da IA na Gestão Estratégica de Marketing;60.0
TEC_GER_0055;Pesquisa de Mercado;60.0
TEC_GER_0056;Sistemas de Informações em Marketing;60.0
TEC_GER_0057;Gestão da Publicidade e da Propaganda;60.0
TEC_GER_0058;Comportamento do Consumidor;60.0
TEC_GER_0059;Marketing Social, Cultural e Ambiental;60.0
